Vianco_data,,,
Gattung,GewogenAm,GewichtBezahlt,TVD
650 - SPG Kuhkalb,2017-01-20,73,12013279406316
640 - SPG Stierkalb,2017-01-20,74,12013279406317
640 - SPG Stierkalb,2017-01-20,74,12013279406318
640 - SPG Stierkalb,2017-01-20,74,12013279406319
640 - SPG Stierkalb,2017-01-20,74,12013279406320
640 - SPG Stierkalb,2017-01-20,74,12013279406321
650 - SPG Kuhkalb,2017-01-20,74,12013279406322
640 - SPG Stierkalb,2017-01-20,75,12013279406323
640 - SPG Stierkalb,2017-01-20,75,12013279406324
640 - SPG Stierkalb,2017-01-20,75,12013279406325
640 - SPG Stierkalb,2017-01-20,75,12013279406326
640 - SPG Stierkalb,2017-01-20,75,12013279406327
640 - SPG Stierkalb,2017-01-20,75,12013279406328
640 - SPG Stierkalb,2017-01-20,75,12013279406329
640 - SPG Stierkalb,2017-01-20,75,12013279406330
640 - SPG Stierkalb,2017-01-20,75,12013279406331
640 - SPG Stierkalb,2017-01-20,75,12013279406332
640 - SPG Stierkalb,2017-01-20,75,12013279406333
640 - SPG Stierkalb,2017-01-20,75,12013279406334
640 - SPG Stierkalb,2017-01-20,75,12013279406335
640 - SPG Stierkalb,2017-01-20,75,12013279406336
640 - SPG Stierkalb,2017-01-20,75,12013279406337
640 - SPG Stierkalb,2017-01-20,75,12013279406338
640 - SPG Stierkalb,2017-01-20,75,12013279406339
640 - SPG Stierkalb,2017-01-20,75,12013279406340
640 - SPG Stierkalb,2017-01-20,75,12013279406341
640 - SPG Stierkalb,2017-01-20,75,12013279406342
640 - SPG Stierkalb,2017-01-20,75,12013279406343
640 - SPG Stierkalb,2017-01-20,75,12013279406344
640 - SPG Stierkalb,2017-01-20,75,12013279406345
640 - SPG Stierkalb,2017-01-20,75,12013279406346
640 - SPG Stierkalb,2017-01-20,75,12013279406347
640 - SPG Stierkalb,2017-01-20,75,12013279406348
640 - SPG Stierkalb,2017-01-20,75,12013279406349
640 - SPG Stierkalb,2017-01-20,75,12013279406350
640 - SPG Stierkalb,2017-01-20,75,12013279406351
640 - SPG Stierkalb,2017-01-20,75,12013279406352
650 - SPG Kuhkalb,2017-01-20,75,12013279406353
650 - SPG Kuhkalb,2017-01-20,75,12013279406354
650 - SPG Kuhkalb,2017-01-20,75,12013279406355
650 - SPG Kuhkalb,2017-01-20,75,12013279406356
650 - SPG Kuhkalb,2017-01-20,75,12013279406357
650 - SPG Kuhkalb,2017-01-20,75,12013279406358
650 - SPG Kuhkalb,2017-01-20,75,12013279406359
650 - SPG Kuhkalb,2017-01-20,75,12013279406360
650 - SPG Kuhkalb,2017-01-20,75,12013279406361
650 - SPG Kuhkalb,2017-01-20,75,12013279406362
650 - SPG Kuhkalb,2017-01-20,75,12013279406363
650 - SPG Kuhkalb,2017-01-20,75,12013279406364
650 - SPG Kuhkalb,2017-01-20,75,12013279406365
650 - SPG Kuhkalb,2017-01-20,75,12013279406366
650 - SPG Kuhkalb,2017-01-20,75,12013279406367
650 - SPG Kuhkalb,2017-01-20,75,12013279406368
650 - SPG Kuhkalb,2017-01-20,75,12013279406369
650 - SPG Kuhkalb,2017-01-20,75,12013279406370
640 - SPG Stierkalb,2017-01-27,50,12013279406371
650 - SPG Kuhkalb,2017-01-27,55,12013279406372
650 - SPG Kuhkalb,2017-01-27,58,12013279406373
640 - SPG Stierkalb,2017-01-27,59,12013279406374
650 - SPG Kuhkalb,2017-01-27,60,12013279406375
650 - SPG Kuhkalb,2017-01-27,61,12013279406376
650 - SPG Kuhkalb,2017-01-27,62,12013279406377
650 - SPG Kuhkalb,2017-01-27,62,12013279406378
640 - SPG Stierkalb,2017-01-27,63,12013279406379
640 - SPG Stierkalb,2017-01-27,63,12013279406380
650 - SPG Kuhkalb,2017-01-27,64,12013279406381
650 - SPG Kuhkalb,2017-01-27,64,12013279406382
640 - SPG Stierkalb,2017-01-27,65,12013279406383
650 - SPG Kuhkalb,2017-01-27,65,12013279406384
650 - SPG Kuhkalb,2017-01-27,65,12013279406385
650 - SPG Kuhkalb,2017-01-27,65,12013279406386
640 - SPG Stierkalb,2017-01-27,66,12013279406387
640 - SPG Stierkalb,2017-01-27,67,12013279406388
650 - SPG Kuhkalb,2017-01-27,67,12013279406389
640 - SPG Stierkalb,2017-01-27,68,12013279406390
650 - SPG Kuhkalb,2017-01-27,68,12013279406391
640 - SPG Stierkalb,2017-01-27,70,12013279406392
650 - SPG Kuhkalb,2017-01-27,70,12013279406393
650 - SPG Kuhkalb,2017-01-27,70,12013279406394
650 - SPG Kuhkalb,2017-01-27,70,12013279406395
650 - SPG Kuhkalb,2017-01-27,70,12013279406396
650 - SPG Kuhkalb,2017-01-27,70,12013279406397
650 - SPG Kuhkalb,2017-01-27,71,12013279406398
640 - SPG Stierkalb,2017-01-27,72,12013279406399
640 - SPG Stierkalb,2017-01-27,72,12013279406400
650 - SPG Kuhkalb,2017-01-27,72,12013279406401
650 - SPG Kuhkalb,2017-01-27,72,12013279406402
650 - SPG Kuhkalb,2017-01-27,72,12013279406403
650 - SPG Kuhkalb,2017-01-27,72,12013279406404
640 - SPG Stierkalb,2017-01-27,73,12013279406405
640 - SPG Stierkalb,2017-01-27,73,12013279406406
640 - SPG Stierkalb,2017-01-27,73,12013279406407
650 - SPG Kuhkalb,2017-01-27,73,12013279406408
640 - SPG Stierkalb,2017-01-27,74,12013279406409
640 - SPG Stierkalb,2017-01-27,74,12013279406410
650 - SPG Kuhkalb,2017-01-27,74,12013279406411
650 - SPG Kuhkalb,2017-01-27,74,12013279406412
650 - SPG Kuhkalb,2017-01-27,74,12013279406413
650 - SPG Kuhkalb,2017-01-27,74,12013279406414
650 - SPG Kuhkalb,2017-01-27,74,12013279406415
640 - SPG Stierkalb,2017-01-27,75,12013279406416
640 - SPG Stierkalb,2017-01-27,75,12013279406417
640 - SPG Stierkalb,2017-01-27,75,12013279406418
640 - SPG Stierkalb,2017-01-27,75,12013279406419
640 - SPG Stierkalb,2017-01-27,75,12013279406420
640 - SPG Stierkalb,2017-01-27,75,12013279406421
640 - SPG Stierkalb,2017-01-27,75,12013279406422
640 - SPG Stierkalb,2017-01-27,75,12013279406423
640 - SPG Stierkalb,2017-01-27,75,12013279406424
640 - SPG Stierkalb,2017-01-27,75,12013279406425
640 - SPG Stierkalb,2017-01-27,75,12013279406426
640 - SPG Stierkalb,2017-01-27,75,12013279406427
640 - SPG Stierkalb,2017-01-27,75,12013279406428
640 - SPG Stierkalb,2017-01-27,75,12013279406429
640 - SPG Stierkalb,2017-01-27,75,12013279406430
640 - SPG Stierkalb,2017-01-27,75,12013279406431
640 - SPG Stierkalb,2017-01-27,75,12013279406432
640 - SPG Stierkalb,2017-01-27,75,12013279406433
640 - SPG Stierkalb,2017-01-27,75,12013279406434
640 - SPG Stierkalb,2017-01-27,75,12013279406435
640 - SPG Stierkalb,2017-01-27,75,12013279406436
640 - SPG Stierkalb,2017-01-27,75,12013279406437
640 - SPG Stierkalb,2017-01-27,75,12013279406438
640 - SPG Stierkalb,2017-01-27,75,12013279406439
640 - SPG Stierkalb,2017-01-27,75,12013279406440
640 - SPG Stierkalb,2017-01-27,75,12013279406441
640 - SPG Stierkalb,2017-01-27,75,12013279406442
640 - SPG Stierkalb,2017-01-27,75,12013279406443
640 - SPG Stierkalb,2017-01-27,75,12013279406444
640 - SPG Stierkalb,2017-01-27,75,12013279406445
640 - SPG Stierkalb,2017-01-27,75,12013279406446
640 - SPG Stierkalb,2017-01-27,75,12013279406447
640 - SPG Stierkalb,2017-01-27,75,12013279406448
640 - SPG Stierkalb,2017-01-27,75,12013279406449
640 - SPG Stierkalb,2017-01-27,75,12013279406450
640 - SPG Stierkalb,2017-01-27,75,12013279406451
640 - SPG Stierkalb,2017-01-27,75,12013279406452
640 - SPG Stierkalb,2017-01-27,75,12013279406453
640 - SPG Stierkalb,2017-01-27,75,12013279406454
640 - SPG Stierkalb,2017-01-27,75,12013279406455
640 - SPG Stierkalb,2017-01-27,75,12013279406456
640 - SPG Stierkalb,2017-01-27,75,12013279406457
640 - SPG Stierkalb,2017-01-27,75,12013279406458
640 - SPG Stierkalb,2017-01-27,75,12013279406459
640 - SPG Stierkalb,2017-01-27,75,12013279406460
640 - SPG Stierkalb,2017-01-27,75,12013279406461
640 - SPG Stierkalb,2017-01-27,75,12013279406462
640 - SPG Stierkalb,2017-01-27,75,12013279406463
640 - SPG Stierkalb,2017-01-27,75,12013279406464
640 - SPG Stierkalb,2017-01-27,75,12013279406465
650 - SPG Kuhkalb,2017-01-27,75,12013279406466
650 - SPG Kuhkalb,2017-01-27,75,12013279406467
650 - SPG Kuhkalb,2017-01-27,75,12013279406468
650 - SPG Kuhkalb,2017-01-27,75,12013279406469
650 - SPG Kuhkalb,2017-01-27,75,12013279406470
650 - SPG Kuhkalb,2017-01-27,75,12013279406471
650 - SPG Kuhkalb,2017-01-27,75,12013279406472
650 - SPG Kuhkalb,2017-01-27,75,12013279406473
650 - SPG Kuhkalb,2017-01-27,75,12013279406474
650 - SPG Kuhkalb,2017-01-27,75,12013279406475
650 - SPG Kuhkalb,2017-01-27,75,12013279406476
650 - SPG Kuhkalb,2017-01-27,75,12013279406477
650 - SPG Kuhkalb,2017-01-27,75,12013279406478
650 - SPG Kuhkalb,2017-01-27,75,12013279406479
650 - SPG Kuhkalb,2017-01-27,75,12013279406480
650 - SPG Kuhkalb,2017-01-27,75,12013279406481
650 - SPG Kuhkalb,2017-01-27,75,12013279406482
650 - SPG Kuhkalb,2017-01-27,75,12013279406483
650 - SPG Kuhkalb,2017-01-27,75,12013279406484
650 - SPG Kuhkalb,2017-01-27,75,12013279406485
650 - SPG Kuhkalb,2017-01-27,75,12013279406486
650 - SPG Kuhkalb,2017-01-27,75,12013279406487
650 - SPG Kuhkalb,2017-01-27,75,12013279406488
650 - SPG Kuhkalb,2017-02-03,58,12013279406489
640 - SPG Stierkalb,2017-02-03,64,12013279406490
640 - SPG Stierkalb,2017-02-03,65,12013279406491
650 - SPG Kuhkalb,2017-02-03,65,12013279406492
